TITLE,AUTHOR,VERSION,PRICE
El pequeño libro del amor,72 Kilos,tapa dura,"17,00"
Heartstopper 5. creciendo contigo,Alice Oseman,tapa blanda,"15,15"
El abismo del olvido,Paco Roca Y Rodrigo Terrasa,tapa dura,"23,75"
Focus - alvaro martínez bueno: the nice house on the lake vol. 2,James Tynion Iv,tapa dura,"32,77"
El viaje de shuna,Hayao Miyazaki,tapa dura,"22,80"
El color de las cosas,Martin Panchaud,tapa dura,"28,40"
One piece nº 106,Eiichiro Oda,tapa dura,"8,07"
Berserk maximum 6,Kentaro Miura,tapa blanda,"16,10"
Los diarios de la boticaria 3,Natsu Hyuga,tapa blanda,"9,45"
Lola vendetta. katanazo al amor romántico,Raquel Riba Rossy,tapa blanda,"16,10"
