TITLE,AUTHOR,VERSION,PRICE
Alas de hierro (empireo 2),Rebecca Yarros,tapa dura,"22,70"
Todos los lugares que mantuvimos en secreto (edición especial postales) 1ª edición,Inma Rubiales,tapa dura,"17,95"
Un fuego en la carne (saga de carne y fuego 3),Jennifer L. Armentrout,otros,"18,90"
Casa de llama y sombra (ciudad medialuna 3),Sarah J. Maas,tapa blanda,"20,85"
Una corte de rosas y espinas. edición especial,Sarah J. Maas,tapa dura,"21,80"
Alas de sangre (empireo 1),Rebecca Yarros,tapa dura,"21,75"
La maldicion del amor verdadero,Stephanie Garber,otros,"17,57"
Powerless,Lauren Roberts,tapa blanda,"20,85"
Mi vida con los chicos walter,Ali Novak,tapa blanda,"18,00"
Twisted 4. twisted lies,Ana Huang,tapa blanda,"17,05"
