title,author,version,price
EL PEQUEÑO LIBRO DEL AMOR,72 KILOS,Tapa dura,"17,00"
HEARTSTOPPER 5. CRECIENDO CONTIGO,ALICE OSEMAN,Tapa blanda,"15,15"
EL ABISMO DEL OLVIDO,PACO ROCA y RODRIGO TERRASA,Tapa dura,"23,75"
FOCUS - ALVARO MARTÍNEZ BUENO: THE NICE HOUSE ON THE LAKE VOL. 2,JAMES TYNION IV,Tapa dura,"32,77"
EL VIAJE DE SHUNA,HAYAO MIYAZAKI,Tapa dura,"22,80"
EL COLOR DE LAS COSAS,MARTIN PANCHAUD,Tapa dura,"28,40"
ONE PIECE Nº 106,EIICHIRO ODA,Tapa dura,"8,07"
BERSERK MAXIMUM 6,KENTARO MIURA,Tapa blanda,"16,10"
LOS DIARIOS DE LA BOTICARIA 3,NATSU HYUGA,Tapa blanda,"9,45"
LOLA VENDETTA. KATANAZO AL AMOR ROMÁNTICO,RAQUEL RIBA ROSSY,Tapa blanda,"16,10"
