title,author,version,price
ALAS DE HIERRO (EMPIREO 2),REBECCA YARROS,Tapa dura,"22,70"
TODOS LOS LUGARES QUE MANTUVIMOS EN SECRETO (EDICIÓN ESPECIAL POSTALES) 1ª EDICIÓN,INMA RUBIALES,Tapa dura,"17,95"
UN FUEGO EN LA CARNE (SAGA DE CARNE Y FUEGO 3),JENNIFER L. ARMENTROUT,Otros,"18,90"
CASA DE LLAMA Y SOMBRA (CIUDAD MEDIALUNA 3),SARAH J. MAAS,Tapa blanda,"20,85"
UNA CORTE DE ROSAS Y ESPINAS. EDICIÓN ESPECIAL,SARAH J. MAAS,Tapa dura,"21,80"
ALAS DE SANGRE (EMPIREO 1),REBECCA YARROS,Tapa dura,"21,75"
LA MALDICION DEL AMOR VERDADERO,STEPHANIE GARBER,Otros,"17,57"
POWERLESS,LAUREN ROBERTS,Tapa blanda,"20,85"
MI VIDA CON LOS CHICOS WALTER,ALI NOVAK,Tapa blanda,"18,00"
TWISTED 4. TWISTED LIES,ANA HUANG,Tapa blanda,"17,05"
