title,author,version,price
ALGO QUE SIRVA COMO LUZ,FERNANDO NAVARRO CANO,Tapa blanda,"18,90"
TU CEREBRO TIENE HAMBRE,BOTICARIA GARCIA,Tapa blanda,"18,90"
DEJA DE SER TU. LA MENTE CREA LA REALIDAD,JOE DISPENZA,Otros,"17,10"
CARNE GOBERNADA,FERNANDO SAVATER,Tapa blanda,"19,85"
HABITOS ATOMICOS,JAMES CLEAR,Tapa blanda,"18,90"
CÓMO HACER QUE TE PASEN COSAS BUENAS,MARIAN ROJAS,Tapa blanda,"18,90"
LA LLAMADA,LEILA GUERRIERO,Tapa blanda,"19,85"
EDUCA TU CEREBRO,DAVID BUENO,Tapa blanda,"19,85"
EL HOMBRE EN BUSCA DE SENTIDO,VIKTOR E. FRANKL,Tapa blanda,"12,25"
POR SI LAS VOCES VUELVEN,ANGEL MARTIN,Tapa blanda,"7,55"
